HTS Number,Description,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,CIF Value,Product Cost,Freight,Insurance,General Rate of Duty Parsed (%),General Rate of Duty Duty Amount,Special Rate of Duty Parsed (%),Special Rate of Duty Duty Amount,Column 2 Rate of Duty Parsed (%),Column 2 Rate of Duty Duty Amount
0106.33.00.00,Ostriches; emus (Dromaius novaehollandiae),1.8%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.018000000000000002,190.8,0.0,0.0,0.2,2120.0
0106.39.01.00,Other,1.8%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.018000000000000002,190.8,0.0,0.0,0.2,2120.0
0106.41.00.00,Bees,Free,,15%,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.15,1590.0
0106.49.00,Other,Free,,15%,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.15,1590.0
0106.90.01,Other,Free,,15%,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.15,1590.0
0201.10.05,Described in general note 15 of the tariff schedule and entered pursuant to its provisions,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",13.2¢/kg,10600.0,10000.0,500.0,100.0,0.004150943396226415,44.0,0.0,0.0,0.012452830188679246,132.0
0201.10.10,Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",13.2¢/kg,10600.0,10000.0,500.0,100.0,0.004150943396226415,44.0,0.0,0.0,0.012452830188679246,132.0
0201.10.50,Other,26.4%,"Free (BH,CL,CO,JO,MA,OM,P,PE,S,SG) 1.7% (KR) See 9822.04.01-9822.04.03 (AU) See 9919.02.01-9919.02.02 (PA)",31.1%,10600.0,10000.0,500.0,100.0,0.264,2798.4,0.0,0.0,0.311,3296.6
0201.20.02.00,High-quality beef cuts,4%,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",20%,10600.0,10000.0,500.0,100.0,0.04,424.0,0.0,0.0,0.2,2120.0
0201.20.04.00,Other,10%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.1,1060.0,0.0,0.0,0.2,2120.0
0201.20.06.00,Other,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA, PE,S,SG)",13.2¢/kg,10600.0,10000.0,500.0,100.0,0.004150943396226415,44.0,0.0,0.0,0.012452830188679246,132.0
0201.20.10.00,High-quality beef cuts,4%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.04,424.0,0.0,0.0,0.2,2120.0
0201.20.30.00,Other,10%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.1,1060.0,0.0,0.0,0.2,2120.0
0201.20.50,Other,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",13.2¢/kg,10600.0,10000.0,500.0,100.0,0.004150943396226415,44.0,0.0,0.0,0.012452830188679246,132.0
0201.20.80,Other,26.4%,"Free (BH,CL,CO,JO,MA,OM,P,PE,S,SG) 1.7% (KR) See 9822.04.01-9822.04.03 (AU) See 9919.02.01-9919.02.02 (PA)",31.1%,10600.0,10000.0,500.0,100.0,0.264,2798.4,0.0,0.0,0.311,3296.6
0201.30.02.00,High-quality beef cuts,4%,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM, P,PA, PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.04,424.0,0.0,0.0,0.2,2120.0
0201.30.04.00,Other,10%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.1,1060.0,0.0,0.0,0.2,2120.0
0201.30.06.00,Other,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",13.2¢/kg,10600.0,10000.0,500.0,100.0,0.004150943396226415,44.0,0.0,0.0,0.012452830188679246,132.0
0201.30.10.00,High-quality beef cuts,4%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.04,424.0,0.0,0.0,0.2,2120.0
0201.30.30.00,Other,10%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.1,1060.0,0.0,0.0,0.2,2120.0
0201.30.50,Other,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",13.2¢/kg,10600.0,10000.0,500.0,100.0,0.004150943396226415,44.0,0.0,0.0,0.012452830188679246,132.0
0201.30.80,Other,26.4%,"Free (BH,CL,CO,JO,MA,OM,P,PE,S,SG) 1.7% (KR) See 9822.04.01-9822.04.03 (AU) See 9919.02.01-9919.02.02 (PA)",31.1%,10600.0,10000.0,500.0,100.0,0.264,2798.4,0.0,0.0,0.311,3296.6
0202.10.05,Described in general note 15 of the tariff schedule and entered pursuant to its provisions,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",13.2¢/kg,10600.0,10000.0,500.0,100.0,0.004150943396226415,44.0,0.0,0.0,0.012452830188679246,132.0
0202.10.10,Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",13.2¢/kg,10600.0,10000.0,500.0,100.0,0.004150943396226415,44.0,0.0,0.0,0.012452830188679246,132.0
0202.10.50,Other,26.4%,"Free (BH,CL,CO,JO,MA,OM,P,PE,S,SG) 1.7% (KR) See 9822.04.01-9822.04.03 (AU) See 9919.02.01-9919.02.02 (PA)",31.1%,10600.0,10000.0,500.0,100.0,0.264,2798.4,0.0,0.0,0.311,3296.6
0202.20.02.00,High-quality beef cuts,4%,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",20%,10600.0,10000.0,500.0,100.0,0.04,424.0,0.0,0.0,0.2,2120.0
0202.20.04.00,Other,10%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.1,1060.0,0.0,0.0,0.2,2120.0
0202.20.06.00,Other,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",13.2¢/kg,10600.0,10000.0,500.0,100.0,0.004150943396226415,44.0,0.0,0.0,0.012452830188679246,132.0
0202.20.10.00,High-quality beef cuts,4%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.04,424.0,0.0,0.0,0.2,2120.0
0202.20.30.00,Other,10%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.1,1060.0,0.0,0.0,0.2,2120.0
0202.20.50,Other,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",13.2¢/kg,10600.0,10000.0,500.0,100.0,0.004150943396226415,44.0,0.0,0.0,0.012452830188679246,132.0
0202.20.80.00,Other,26.4%,"Free (BH,CL,CO,JO,MA,OM,P,PE,S,SG) 1.7% (KR) See 9822.04.01-9822.04.03 (AU) See 9919.02.01-9919.02.02 (PA)",31.1%,10600.0,10000.0,500.0,100.0,0.264,2798.4,0.0,0.0,0.311,3296.6
0202.30.02.00,High-quality beef cuts,4%,"Free (A,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.04,424.0,0.0,0.0,0.2,2120.0
0202.30.04.00,Other,10%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.1,1060.0,0.0,0.0,0.2,2120.0
0202.30.06.00,Other,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",13.2¢/kg,10600.0,10000.0,500.0,100.0,0.004150943396226415,44.0,0.0,0.0,0.012452830188679246,132.0
0202.30.10.00,High-quality beef cuts,4%,"Free (A*,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.04,424.0,0.0,0.0,0.2,2120.0
0202.30.30.00,Other,10%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.1,1060.0,0.0,0.0,0.2,2120.0
0202.30.50,Other,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",13.2¢/kg,10600.0,10000.0,500.0,100.0,0.004150943396226415,44.0,0.0,0.0,0.012452830188679246,132.0
0202.30.80.00,Other,26.4%,"Free (BH,CL,CO,JO,MA,OM,P,PE,S,SG) 1.7% (KR) See 9822.04.01-9822.04.03 (AU) See 9919.02.01-9919.02.02 (PA)",31.1%,10600.0,10000.0,500.0,100.0,0.264,2798.4,0.0,0.0,0.311,3296.6
0203.11.00.00,Carcasses and half-carcasses,Free,,5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.005188679245283019,55.0
0203.12.10,Processed,1.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",7.2¢/kg,10600.0,10000.0,500.0,100.0,0.0013207547169811322,14.000000000000002,0.0,0.0,0.006792452830188679,72.0
0203.12.90,Other,Free,,5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.005188679245283019,55.0
0203.19.20,Processed,1.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",7.2¢/kg,10600.0,10000.0,500.0,100.0,0.0013207547169811322,14.000000000000002,0.0,0.0,0.006792452830188679,72.0
0203.19.40,Other,Free,,5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.005188679245283019,55.0
0203.21.00.00,Carcasses and half-carcasses,Free,,5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.005188679245283019,55.0
0203.22.10.00,Processed,1.4¢/kg,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",7.2¢/kg,10600.0,10000.0,500.0,100.0,0.0013207547169811322,14.000000000000002,0.0,0.0,0.006792452830188679,72.0
0203.22.90.00,Other,Free,,5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.005188679245283019,55.0
0203.29.20.00,Processed,1.4¢/kg,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",7.2¢/kg,10600.0,10000.0,500.0,100.0,0.0013207547169811322,14.000000000000002,0.0,0.0,0.006792452830188679,72.0
0203.29.40.00,Other,Free,,5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.005188679245283019,55.0
0204.10.00.00,"Carcasses and half-carcasses of lamb, fresh or chilled",0.7¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",15.4¢/kg,10600.0,10000.0,500.0,100.0,0.0006603773584905661,7.000000000000001,0.0,0.0,0.014528301886792452,154.0
0204.21.00.00,Carcasses and half-carcasses,2.8¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR, MA,OM,P,PA,PE,S, SG)",11¢/kg,10600.0,10000.0,500.0,100.0,0.0026415094339622643,28.000000000000004,0.0,0.0,0.010377358490566037,110.0
0204.22.20,Lamb,0.7¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",15.4¢/kg,10600.0,10000.0,500.0,100.0,0.0006603773584905661,7.000000000000001,0.0,0.0,0.014528301886792452,154.0
0204.22.40.00,Other,2.8¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",11¢/kg,10600.0,10000.0,500.0,100.0,0.0026415094339622643,28.000000000000004,0.0,0.0,0.010377358490566037,110.0
0204.23.20.00,Lamb,0.7¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",15.4¢/kg,10600.0,10000.0,500.0,100.0,0.0006603773584905661,7.000000000000001,0.0,0.0,0.014528301886792452,154.0
0204.23.40.00,Other,2.8¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",11¢/kg,10600.0,10000.0,500.0,100.0,0.0026415094339622643,28.000000000000004,0.0,0.0,0.010377358490566037,110.0
0204.30.00.00,"Carcasses and half-carcasses of lamb, frozen",0.7¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",15.4¢/kg,10600.0,10000.0,500.0,100.0,0.0006603773584905661,7.000000000000001,0.0,0.0,0.014528301886792452,154.0
0204.41.00.00,Carcasses and half-carcasses,2.8¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",11¢/kg,10600.0,10000.0,500.0,100.0,0.0026415094339622643,28.000000000000004,0.0,0.0,0.010377358490566037,110.0
0204.42.20,Lamb,0.7¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",15.4¢/kg,10600.0,10000.0,500.0,100.0,0.0006603773584905661,7.000000000000001,0.0,0.0,0.014528301886792452,154.0
0204.42.40.00,Other,2.8¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",11¢/kg,10600.0,10000.0,500.0,100.0,0.0026415094339622643,28.000000000000004,0.0,0.0,0.010377358490566037,110.0
0204.43.20.00,Lamb,0.7¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",15.4¢/kg,10600.0,10000.0,500.0,100.0,0.0006603773584905661,7.000000000000001,0.0,0.0,0.014528301886792452,154.0
0204.43.40.00,Other,2.8¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",11¢/kg,10600.0,10000.0,500.0,100.0,0.0026415094339622643,28.000000000000004,0.0,0.0,0.010377358490566037,110.0
0204.50.00.00,Meat of goats,Free,,11¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.010377358490566037,110.0
0206.10.00.00,"Of bovine animals, fresh or chilled",Free,,30%,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.3,3180.0
0206.21.00.00,Tongues,Free,,30%,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.3,3180.0
0206.22.00.00,Livers,Free,,30%,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.3,3180.0
0206.29.00.00,Other,Free,,30%,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.3,3180.0
0206.30.00.00,"Of swine, fresh or chilled",Free,,30%,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.3,3180.0
0206.41.00.00,Livers,Free,,30%,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.3,3180.0
0206.49.00.00,Other,Free,,30%,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.3,3180.0
0206.80.00.00,"Other, fresh or chilled",Free,,30%,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.3,3180.0
0206.90.00,"Other, frozen",Free,,30%,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.3,3180.0
0207.11.00,"Not cut in pieces, fresh or chilled",8.8¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.00830188679245283,88.0,0.0,0.0,0.020754716981132074,220.0
0207.12.00,"Not cut in pieces, frozen",8.8¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.00830188679245283,88.0,0.0,0.0,0.020754716981132074,220.0
0207.13.00.00,"Cuts and offal, fresh or chilled",17.6¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.01660377358490566,176.0,0.0,0.0,0.020754716981132074,220.0
0207.14.00,"Cuts and offal, frozen",17.6¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.01660377358490566,176.0,0.0,0.0,0.020754716981132074,220.0
0207.24.00.00,"Not cut in pieces, fresh or chilled",15¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.014150943396226415,150.0,0.0,0.0,0.020754716981132074,220.0
0207.25.20.00,Valued less than 88¢/kg,8.8¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.00830188679245283,88.0,0.0,0.0,0.020754716981132074,220.0
0207.25.40.00,Valued 88¢ or more per kg,10%,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",25%,10600.0,10000.0,500.0,100.0,0.1,1060.0,0.0,0.0,0.25,2650.0
0207.26.00.00,"Cuts and offal, fresh or chilled",17.6¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.01660377358490566,176.0,0.0,0.0,0.020754716981132074,220.0
0207.27.00,"Cuts and offal, frozen",17.6¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.01660377358490566,176.0,0.0,0.0,0.020754716981132074,220.0
0207.41.00.00,"Not cut in pieces, fresh or chilled",8.8¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.00830188679245283,88.0,0.0,0.0,0.020754716981132074,220.0
0207.42.00.00,"Not cut in pieces, frozen",8.8¢/kg,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.00830188679245283,88.0,0.0,0.0,0.020754716981132074,220.0
0207.43.00.00,"Fatty livers, fresh or chilled",17.6¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.01660377358490566,176.0,0.0,0.0,0.020754716981132074,220.0
0207.44.00.00,"Other, fresh or chilled",17.6¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.01660377358490566,176.0,0.0,0.0,0.020754716981132074,220.0
0207.45.00,"Other, frozen",17.6¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.01660377358490566,176.0,0.0,0.0,0.020754716981132074,220.0
0207.51.00.00,"Not cut in pieces, fresh or chilled",8.8¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.00830188679245283,88.0,0.0,0.0,0.020754716981132074,220.0
0207.52.00.00,"Not cut in pieces, frozen",8.8¢/kg,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.00830188679245283,88.0,0.0,0.0,0.020754716981132074,220.0
0207.53.00.00,"Fatty livers, fresh or chilled",17.6¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.01660377358490566,176.0,0.0,0.0,0.020754716981132074,220.0
0207.54.00.00,"Other, fresh or chilled",17.6¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.01660377358490566,176.0,0.0,0.0,0.020754716981132074,220.0
0207.55.00,"Other, frozen",17.6¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.01660377358490566,176.0,0.0,0.0,0.020754716981132074,220.0
0207.60.10.00,"Not cut in pieces, fresh or chilled",8.8¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.00830188679245283,88.0,0.0,0.0,0.020754716981132074,220.0
0207.60.20.00,"Not cut in pieces, frozen",8.8¢/kg,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.00830188679245283,88.0,0.0,0.0,0.020754716981132074,220.0
0207.60.30.00,"Fatty livers, fresh or chilled",17.6¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.01660377358490566,176.0,0.0,0.0,0.020754716981132074,220.0
0207.60.40.00,"Other, fresh or chilled",17.6¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.01660377358490566,176.0,0.0,0.0,0.020754716981132074,220.0
